epoch,step,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,2,,,,,,0.3028571307659149,0.2935065031051636,1.1017117500305176,0.2857142984867096,0.3142857253551483
0,2,0.3333333432674408,0.16616962850093842,1.1040595769882202,0.1111111044883728,0.3333333432674408,,,,,
1,5,,,,,,0.3142857253551483,0.20286817848682404,1.104845643043518,0.2926827669143677,0.1778874397277832
1,5,0.6111111044883728,0.5718133449554443,0.9963884353637695,0.6597001552581787,0.6333333849906921,,,,,
2,8,,,,,,0.2971428632736206,0.1871795803308487,1.1086959838867188,0.2783970534801483,0.1664588749408722
2,8,0.6111111044883728,0.49808168411254883,0.9494594931602478,0.5578804016113281,0.5617284178733826,,,,,
3,11,,,,,,0.33714285492897034,0.24492603540420532,1.093368649482727,0.3519727885723114,0.2441212236881256
3,11,0.6666666865348816,0.5617871880531311,0.9055512547492981,0.6099139451980591,0.6296296715736389,,,,,
4,14,,,,,,0.38857144117355347,0.3402940630912781,1.0487709045410156,0.334285706281662,0.3628571331501007
4,14,0.6666666865348816,0.59876549243927,0.8168745040893555,0.6851851940155029,0.6592592000961304,,,,,
5,17,,,,,,0.38857144117355347,0.3402940630912781,1.1092479228973389,0.334285706281662,0.3628571331501007
5,17,0.6388888955116272,0.5450496673583984,0.9352917075157166,0.5987654328346252,0.6415343880653381,,,,,
6,20,,,,,,0.4628571569919586,0.3565101623535156,1.0367732048034668,0.4380952715873718,0.3561558425426483
6,20,0.5833333134651184,0.5036933422088623,0.9184752702713013,0.4924483299255371,0.6160494089126587,,,,,
7,23,,,,,,0.3085714280605316,0.21704529225826263,1.0858248472213745,0.273333340883255,0.23047618567943573
7,23,0.6666666865348816,0.6110363006591797,0.8459916710853577,0.640885055065155,0.712169349193573,,,,,
8,26,,,,,,0.3028571307659149,0.25527065992355347,1.2565419673919678,0.24285714328289032,0.2742857038974762
8,26,0.6666666865348816,0.5768799185752869,0.7786784768104553,0.6135802865028381,0.6666666865348816,,,,,
9,29,,,,,,0.3199999928474426,0.2261032611131668,1.1979321241378784,0.273333340883255,0.23619046807289124
9,29,0.6944444179534912,0.6194003224372864,0.7331687808036804,0.6625514626502991,0.7248677015304565,,,,,
10,32,,,,,,0.3199999928474426,0.2261032611131668,1.2159886360168457,0.273333340883255,0.23619046807289124
10,32,0.6388888955116272,0.5314253568649292,0.7848814725875854,0.4592592418193817,0.6851851940155029,,,,,
11,35,,,,,,0.49714285135269165,0.30598124861717224,0.9790078401565552,0.3554632067680359,0.282701313495636
11,35,0.6666666865348816,0.5894270539283752,0.7744700312614441,0.644444465637207,0.7010581493377686,,,,,
12,38,,,,,,0.508571445941925,0.422573983669281,0.9628819823265076,0.48592591285705566,0.42491772770881653
12,38,0.5277777910232544,0.4394093453884125,0.883926272392273,0.479423850774765,0.5593180656433105,,,,,
13,41,,,,,,0.5657142996788025,0.3218896985054016,0.9314145445823669,0.3465690016746521,0.3123290240764618
13,41,0.6666666865348816,0.5920214653015137,0.7966978549957275,0.6164342164993286,0.682539701461792,,,,,
14,44,,,,,,0.33142855763435364,0.2685447335243225,1.1427005529403687,0.32680273056030273,0.27276191115379333
14,44,0.6666666865348816,0.5610520839691162,0.7518088817596436,0.6107370257377625,0.6582010388374329,,,,,
15,47,,,,,,0.3142857253551483,0.25201189517974854,1.2046494483947754,0.29632654786109924,0.2628571391105652
15,47,0.6666666865348816,0.5635960698127747,0.7145547866821289,0.5510287880897522,0.6582010388374329,,,,,
16,50,,,,,,0.5771428346633911,0.36352089047431946,0.9084213972091675,0.4373333752155304,0.3480346202850342
16,50,0.7222222089767456,0.663311243057251,0.7345001697540283,0.6693709492683411,0.7530863881111145,,,,,
17,53,,,,,,0.5657142996788025,0.328339546918869,0.9127067923545837,0.37892064452171326,0.3133159875869751
17,53,0.6666666865348816,0.5707070827484131,0.6766247749328613,0.6156378984451294,0.6617283821105957,,,,,
18,56,,,,,,0.37714284658432007,0.2600218951702118,1.0619299411773682,0.4152207672595978,0.24112553894519806
18,56,0.7222222089767456,0.6232388615608215,0.6690507531166077,0.6283950805664062,0.7160493731498718,,,,,
19,59,,,,,,0.3142857253551483,0.21680478751659393,1.3366318941116333,0.2989436984062195,0.2145627737045288
19,59,0.7222222089767456,0.6108615398406982,0.6620440483093262,0.6666666269302368,0.6716049909591675,,,,,
20,62,,,,,,0.6000000238418579,0.3456116020679474,0.8508979082107544,0.42780953645706177,0.32188743352890015
20,62,0.7222222089767456,0.6580246686935425,0.6353525519371033,0.6416813731193542,0.7343915104866028,,,,,
21,65,,,,,,0.5142857432365417,0.2738646864891052,0.9605750441551208,0.3866666555404663,0.22768831253051758
21,65,0.7222222089767456,0.7017583250999451,0.6635415554046631,0.7185184955596924,0.7354497313499451,,,,,
22,68,,,,,,0.5314285755157471,0.3484503924846649,0.9226036071777344,0.4786666929721832,0.28959307074546814
22,68,0.7777777910232544,0.7149911522865295,0.6001638770103455,0.7746031880378723,0.7913579940795898,,,,,
23,71,,,,,,0.37714284658432007,0.2788965106010437,1.2654634714126587,0.4151020050048828,0.2518787980079651
23,71,0.8611111044883728,0.8552706241607666,0.5666935443878174,0.8871252536773682,0.8765432238578796,,,,,
24,74,,,,,,0.7028571367263794,0.41008976101875305,0.751092791557312,0.5145124793052673,0.3793478012084961
24,74,0.8055555820465088,0.7988332509994507,0.5812374949455261,0.8121693134307861,0.8024691343307495,,,,,
25,77,,,,,,0.7142857313156128,0.41146984696388245,0.7149001955986023,0.4992743730545044,0.38220494985580444
