FCN,MultiROCKET,DefFCN,InceptionTime,ResNet,Inception
0.896,0.92,0.9060000061988831,0.91,0.8199999928474426,0.88
0.844501278772378,0.833759590792839,0.8332480788230896,0.782608695652174,0.8081841468811035,0.7468030690537084
0.84,0.868571428571428,0.8388571381568909,0.8228571428571428,0.8114285469055176,0.7657142857142857
0.844,1.0,0.7933333277702331,0.9866666666666668,1.0,0.9733333333333334
0.66,0.766666666666667,0.799999988079071,0.8,0.699999988079071,0.7
0.9,0.85,0.8300000071525574,0.9,0.800000011920929,0.9
0.93,0.9,0.9099999785423278,0.75,0.8999999761581421,0.75
0.993777777777778,0.996666666666667,0.9940000057220459,0.9955555555555556,0.996666669845581,0.9944444444444444
0.906666666666667,0.916666666666667,0.9133333325386047,0.8,0.8833333253860474,0.7666666666666667
0.979591836734694,0.979591836734694,0.9830903768539428,0.97667638483965,0.9766764044761658,0.97667638483965
0.804010416666667,0.784114583333333,0.7929166674613952,0.8005208333333333,0.8231770992279053,0.76484375
0.822898550724637,0.951449275362319,0.8284057974815369,0.7115942028985507,0.79347825050354,0.6804347826086956
1.0,1.0,1.0,1.0,1.0,1.0
0.8176,0.784,0.8064000010490417,0.752,0.7879999876022339,0.72
0.791794871794872,0.807692307692308,0.7830769181251526,0.8,0.7512820363044739,0.7743589743589744
0.782051282051282,0.843589743589744,0.7933333277702331,0.8102564102564103,0.7871794700622559,0.7923076923076923
0.80051282051282,0.835897435897436,0.8076923012733459,0.8205128205128205,0.764102578163147,0.8051282051282052
0.739535714285714,0.774761904761905,0.7543622510773795,0.7652380952380953,0.7538690567016602,0.7609523809523809
0.358823529411765,0.96078431372549,0.9333333134651184,0.9052287581699346,0.3006536066532135,0.8790849673202614
0.712230215827338,0.76978417266187,0.7453237414360047,0.7266187050359713,0.6762589812278748,0.7050359712230215
0.760144927536232,0.800724637681159,0.7666666626930236,0.822463768115942,0.7572463750839233,0.7644927536231884
0.693525179856115,0.690647482014388,0.69928058385849,0.7050359712230215,0.633093535900116,0.6474820143884892
0.88,0.92,0.8560000061988831,0.9,0.8799999952316284,0.88
0.940533333333333,0.946444444444444,0.939466655254364,0.9355555555555556,0.9300000071525574,0.9308888888888888
0.98815331010453,1.0,0.9902439117431641,1.0,0.9825783967971802,1.0
0.573480662983425,0.657458563535912,0.620441997051239,0.5524861878453039,0.4944751262664795,0.5165745856353591
0.45414364640884,0.535911602209945,0.42486187219619753,0.4917127071823204,0.4116021990776062,0.4668508287292817
0.717985611510791,0.748201438848921,0.7338129639625549,0.7913669064748201,0.6906474828720093,0.7050359712230215
0.707456879782129,0.735442873816626,0.6955258846282959,0.716768253144858,0.7185838222503662,0.7014654389832706
0.6796,0.638,0.675600004196167,0.774,0.4120000004768371,0.71
0.93810650887574,0.799408284023669,0.9355029702186585,0.7775147928994083,0.7769230604171753,0.7627218934911243
0.927272727272727,0.931818181818182,0.9340909123420715,0.8068181818181818,0.931818187236786,0.75
0.944292682926829,0.961463414634146,0.9449756026268006,0.895609756097561,0.9443902373313904,0.8839024390243903
0.651428571428571,0.859340659340659,0.6720879316329956,0.7978021978021979,0.6989011168479919,0.7736263736263737
0.961142857142857,0.988571428571428,0.9725714325904846,0.9314285714285714,0.9714285731315612,0.9142857142857144
0.916515151515151,0.957575757575757,0.9122727513313293,0.956060606060606,0.9295454621315002,0.953030303030303
0.779506172839506,0.838271604938272,0.7713580131530762,0.8432098765432099,0.8061728477478027,0.8320987654320988
0.996561403508772,0.999649122807018,0.9953684210777283,0.9971929824561404,0.9978947639465332,0.9964912280701754
0.697263157894737,0.995438596491228,0.7901754379272461,0.983859649122807,0.8919298052787781,0.7768421052631579
