model,dataset,exp,acc,f1,recall,precision,time
resnet,ACSF1,0,0.8799999952316284,0.6456255316734314,0.6299999356269836,0.6666667461395264,140.91190600395203
resnet,ACSF1,1,0.8999999761581421,0.6378533840179443,0.621666669845581,0.6583333611488342,140.11409735679626
resnet,ACSF1,2,0.8199999928474426,0.46641087532043457,0.4425000250339508,0.5,138.7478551864624
resnet,ACSF1,3,0.8700000047683716,0.5786893963813782,0.5558333396911621,0.6083333492279053,141.99976301193237
resnet,ACSF1,4,0.8799999952316284,0.6173231601715088,0.5991666316986084,0.6416667103767395,140.221843957901
resnet,Adiac,0,0.8260869383811951,0.7354648113250732,0.744557797908783,0.739195704460144,191.41092467308044
resnet,Adiac,1,0.8312020301818848,0.7354589104652405,0.742293119430542,0.7392086982727051,193.32015895843506
resnet,Adiac,2,0.8081841468811035,0.7128035426139832,0.7229503989219666,0.71444171667099,191.15998339653015
resnet,Adiac,3,0.833759605884552,0.749940037727356,0.7587141394615173,0.7531470060348511,191.62445974349976
resnet,Adiac,4,0.8184143304824829,0.7317010164260864,0.7434869408607483,0.7311378121376038,193.40181589126587
resnet,ArrowHead,0,0.8799999952316284,0.7902855277061462,0.7676190137863159,0.8257142901420593,94.6990282535553
resnet,ArrowHead,1,0.8171428442001343,0.7219999432563782,0.692380964756012,0.7799999713897705,93.66613698005676
resnet,ArrowHead,2,0.8285714387893677,0.725428581237793,0.6961904764175415,0.7771428823471069,92.66550803184509
resnet,ArrowHead,3,0.8114285469055176,0.693142831325531,0.6609523892402649,0.7485714554786682,93.40301537513733
resnet,ArrowHead,4,0.8285714387893677,0.7254285216331482,0.6961904764175415,0.7771428823471069,90.17145943641663
resnet,Beef,0,0.800000011920929,0.6766666173934937,0.644444465637207,0.7333333492279053,76.89080095291138
resnet,Beef,1,0.7333333492279053,0.6016666889190674,0.5611110925674438,0.6833333373069763,74.89400148391724
resnet,Beef,2,0.7666666507720947,0.6166666746139526,0.5777778029441833,0.6833333373069763,75.3597822189331
resnet,Beef,3,0.699999988079071,0.5849999785423279,0.550000011920929,0.6499999761581421,77.6597957611084
resnet,Beef,4,0.7333333492279053,0.5649999380111694,0.5166666507720947,0.6499999761581421,77.06714081764221
resnet,BeetleFly,0,0.800000011920929,0.7333333492279053,0.699999988079071,0.800000011920929,80.40936040878296
resnet,BeetleFly,1,0.800000011920929,0.7333333492279053,0.699999988079071,0.800000011920929,79.39315509796143
resnet,BeetleFly,2,0.8999999761581421,0.8666666746139526,0.8500000238418579,0.8999999761581421,81.70399975776672
resnet,BeetleFly,3,0.8999999761581421,0.8666666746139526,0.8500000238418579,0.8999999761581421,80.39768743515015
resnet,BeetleFly,4,0.8500000238418579,0.800000011920929,0.7749999761581421,0.8500000238418579,80.50663661956787
resnet,BirdChicken,0,1.0,1.0,1.0,1.0,79.59734034538269
resnet,BirdChicken,1,1.0,1.0,1.0,1.0,81.01000165939331
resnet,BirdChicken,2,0.949999988079071,0.9333332777023315,0.925000011920929,0.949999988079071,77.7176296710968
resnet,BirdChicken,3,0.949999988079071,0.9333332777023315,0.925000011920929,0.949999988079071,78.03437113761902
resnet,BirdChicken,4,0.8999999761581421,0.8666666150093079,0.8500000238418579,0.8999999761581421,78.99541711807251
resnet,BME,0,1.0,1.0,1.0,1.0,73.6823616027832
resnet,BME,1,1.0,1.0,1.0,1.0,73.96823024749756
resnet,BME,2,1.0,1.0,1.0,1.0,73.90106844902039
resnet,BME,3,1.0,1.0,1.0,1.0,73.78162407875061
resnet,BME,4,1.0,1.0,1.0,1.0,74.34946417808533
resnet,Car,0,0.8833333253860474,0.8766667246818542,0.887499988079071,0.8958333134651184,73.62495923042297
resnet,Car,1,0.8833333253860474,0.8310714960098267,0.8347222805023193,0.8513888716697693,75.30455231666565
resnet,Car,2,0.9333333373069763,0.9185714721679688,0.9222221970558167,0.9388888478279114,74.85986256599426
resnet,Car,3,0.8833333253860474,0.8469048142433167,0.8513889312744141,0.8763888478279114,76.95913624763489
resnet,Car,4,0.9166666865348816,0.9052380919456482,0.9111111164093018,0.9277778267860413,75.21437549591064
resnet,CBF,0,0.996666669845581,0.9942963123321533,0.9944444298744202,0.9944444298744202,74.08799648284912
resnet,CBF,1,0.996666669845581,0.9940741062164307,0.9944444298744202,0.9938889145851135,74.1137261390686
resnet,CBF,2,0.996666669845581,0.9942963123321533,0.9944444298744202,0.9944444298744202,74.83520793914795
resnet,CBF,3,1.0,1.0,1.0,1.0,75.02901554107666
resnet,CBF,4,0.9977777600288391,0.9957777857780457,0.995555579662323,0.9961110949516296,75.32767820358276
resnet,Chinatown,0,0.9825072884559631,0.9766762852668762,0.9737609624862671,0.9825072884559631,78.68988084793091
resnet,Chinatown,1,0.9795918464660645,0.9727891087532043,0.9693877696990967,0.9795918464660645,78.20872044563293
resnet,Chinatown,2,0.9825072884559631,0.9766764044761658,0.9737609624862671,0.9825072884559631,78.11590003967285
resnet,Chinatown,3,0.9766764044761658,0.9689018130302429,0.9650145769119263,0.9766764044761658,79.48926949501038
resnet,Chinatown,4,0.9795918464660645,0.9727891087532043,0.9693877696990967,0.9795918464660645,78.07268643379211
resnet,ChlorineConcentration,0,0.8231770992279053,0.776069700717926,0.7959240078926086,0.7931689620018005,218.98409748077393
resnet,ChlorineConcentration,1,0.846875011920929,0.8022026419639587,0.8108115792274475,0.8312241435050964,220.78414011001587
resnet,ChlorineConcentration,2,0.8348958492279053,0.791897714138031,0.8059710264205933,0.8133004903793335,219.97573232650757
resnet,ChlorineConcentration,3,0.8515625,0.8087576031684875,0.8194835782051086,0.8310367465019226,219.44051337242126
resnet,ChlorineConcentration,4,0.835156261920929,0.7927572131156921,0.8092878460884094,0.8112003803253174,222.75650548934937
