model,dataset,exp,acc,f1,recall,precision,time
deffcn,InsectWingbeatSound,0,0.41111111640930176,0.32898589968681335,0.3566325008869171,0.35684388875961304,348.58719277381897
deffcn,InsectWingbeatSound,1,0.41313132643699646,0.3340241312980652,0.3592970371246338,0.36110690236091614,346.8280909061432
deffcn,InsectWingbeatSound,2,0.4161616265773773,0.334057092666626,0.3618054687976837,0.36388838291168213,358.0460855960846
deffcn,InsectWingbeatSound,3,0.4161616265773773,0.33448877930641174,0.36546292901039124,0.3576430380344391,352.57755041122437
deffcn,InsectWingbeatSound,4,0.40909090638160706,0.3244035542011261,0.34853607416152954,0.3521551191806793,346.45347905158997
